Player_Name,Player_ID,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FTA,TOV,REB,AST,PTS,TEAM_ABBREVIATION,TEAM_ID,TEAM_MIN,TEAM_FGA,TEAM_FTA,TEAM_TOV,USG%,PRA,Season,Age,Team,G,Pos,season_PTS,season_REB,season_AST,season_USG%,season_PRA,games_played,PRA_projected,PV,is_AS_level
AJ Green,1631260,0022400323,"Dec 04, 2024",MIL vs. ATL,L,27,2,11,0,0,4,4,6,MIL,1610612749,240,78,35,18,17.55435866746459,14,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,22.2,0.7975227272727273,0
AJ Green,1631260,0022400374,"Dec 20, 2024",MIL @ CLE,L,17,0,4,0,0,1,4,0,MIL,1610612749,240,85,18,20,10.00187535162843,5,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,13.1,0.49990625000000005,0
AJ Green,1631260,0022400335,"Dec 06, 2024",MIL @ BOS,L,23,2,4,0,1,2,0,6,MIL,1610612749,240,94,17,9,9.444951673330605,8,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,22.1,0.8470133333333333,0
AJ Green,1631260,0022400348,"Dec 08, 2024",MIL @ BKN,W,22,2,2,0,0,1,0,6,MIL,1610612749,240,68,32,16,4.449058282663503,7,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,38.1,1.5733666666666666,1
AJ Green,1631260,0022401201,"Dec 10, 2024",MIL vs. ORL,W,33,3,9,0,2,4,2,9,MIL,1610612749,240,77,25,16,15.384615384615385,15,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,26.8,0.975,0
AJ Green,1631260,0022401229,"Dec 14, 2024",MIL vs. ATL,W,19,3,6,0,2,1,1,9,MIL,1610612749,240,86,27,13,18.227386648439282,11,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,16.8,0.6034875,0
AJ Green,1631260,0022400382,"Dec 21, 2024",MIL vs. WAS,W,31,2,7,0,0,4,6,6,MIL,1610612749,240,98,5,13,9.574831870511796,16,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,43.7,1.6710476190476193,1
AJ Green,1631260,0022400497,"Jan 06, 2025",MIL @ TOR,W,13,2,3,0,0,0,1,5,MIL,1610612749,240,82,15,21,10.106681639528354,6,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,15.6,0.5936666666666667,0
AJ Green,1631260,0022400415,"Dec 26, 2024",MIL vs. BKN,L,29,3,8,0,0,6,2,8,MIL,1610612749,240,83,12,23,11.89915466422073,16,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,36.0,1.3446333333333333,0
AJ Green,1631260,0022400430,"Dec 28, 2024",MIL @ CHI,L,24,2,4,0,1,2,1,5,MIL,1610612749,240,102,14,8,8.608815426997245,8,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,24.0,0.9292800000000001,0
AJ Green,1631260,0022400450,"Dec 31, 2024",MIL @ IND,W,16,3,6,0,0,2,1,9,MIL,1610612749,240,97,24,12,15.055202408832386,12,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,21.8,0.7970666666666666,0
AJ Green,1631260,0022400483,"Jan 04, 2025",MIL vs. POR,L,30,7,13,0,1,2,3,21,MIL,1610612749,240,95,9,11,20.371044016005822,26,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,36.0,1.2763214285714284,0
AJ Green,1631260,0022400516,"Jan 08, 2025",MIL vs. SAS,W,25,5,9,0,0,1,1,14,MIL,1610612749,240,92,20,11,15.456171735241503,16,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,28.4,1.0351851851851852,0
AJ Green,1631260,0022400526,"Jan 10, 2025",MIL @ ORL,W,19,0,3,0,0,3,0,0,MIL,1610612749,240,83,23,13,7.14186521713254,3,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,10.7,0.4200583333333334,0
AJ Green,1631260,0022400052,"Dec 03, 2024",MIL @ DET,W,22,4,4,0,3,3,0,11,MIL,1610612749,240,80,21,18,14.241633040588656,14,2024-25,25,MIL,73,SG,7.4,2.4,1.5,12.6,11.3,69,26.8,0.9830333333333332,0
